feature,importance
ALTV,0.13521633136814373
ASTV,0.1329155717779929
Mean,0.10409667151201689
Median,0.07996106367799659
AC,0.07775231152084898
MSTV,0.07022242658042363
MLTV,0.05808055444212067
Mode,0.05335288873376129
DP,0.04627772100386355
LB,0.045552831918021224
Variance,0.03716969799683058
Width,0.026603113136760267
Max,0.02420866276578874
UC,0.023708875833913467
Min,0.02361857480704408
FM,0.019595891382036636
Nmax,0.01660469588668947
DL,0.012564887221116964
Tendency,0.008541860741542145
Nzeros,0.003557299829051008
DS,0.0003980678640372121
