,chi2,anova_f,mutual_info,l1_coef,aggregate_score
DP,1.0,1.0,0.3906278037284453,1.0,0.8476569509321114
ALTV,0.6813165648063858,0.6363207033167375,0.8922502639078684,0.22307530036131293,0.6082407080980762
ALTV_scaled,0.6813165648063858,0.6363207033167362,0.8755218945337164,0.22307530036126363,0.6040586157545255
ASTV_scaled,0.20356897992012338,0.6409137624231366,0.8943047696061978,0.43386795689847185,0.5431638672119824
ASTV,0.20356897992012338,0.6409137624231589,0.8733682563552472,0.43386795689939545,0.5379297388994813
AC,0.2833239631044265,0.36722529340644294,0.6914336388775518,0.627446243166481,0.49235728463872563
Variance,0.15453660261769897,0.28411607467464417,0.6775177245057852,0.8001475094956874,0.47907947782345395
accel_per_uc,0.28196411891197315,0.36698605099219,0.6100904379745827,0.6262359784138313,0.4713191465731442
abnormal_stv_ltv_ratio,0.2950288889249134,0.30633153592298423,0.9297029340814753,0.2109522371441821,0.43550389901838876
Mean_scaled,0.05885597886408658,0.5657766703854831,0.7858347501788754,0.31803614742158853,0.4321258867125084
stv_ltv_ratio,0.5365018418427473,0.41804682690346273,0.7454843518771205,0.02266521483807101,0.4306745588653504
Mean,0.05885597886408658,0.5657766703854171,0.7539769242154146,0.31803614742158026,0.4241614302216246
baseline_mode_gap,0.12579218877069145,0.23887666468447502,0.4449076964779656,0.620785856737051,0.35759060166754575
MSTV_scaled,0.07524663166513049,0.22117110968979825,1.0,0.049438901615675844,0.3364641607426511
MSTV,0.07524663166513047,0.22117110968979944,0.9903718681849342,0.04943890161581448,0.33405712778891966
ac_baseline_ratio,0.2607329712975522,0.37003402250088546,0.6233750467484456,0.06388936026225994,0.3295078502022858
Median_scaled,0.04398935117060114,0.4721264190994511,0.711233556075239,0.08295741566555488,0.32757668550271146
Mode,0.041377880603556606,0.5229875793877033,0.7346612955634547,0.0,0.3247566888886787
Mode_scaled,0.041377880603556606,0.5229875793879037,0.7057550755297974,0.0,0.3175301338803145
baseline_stability,0.3869879504978529,0.3828640738343961,0.3390323950033697,0.14702346259395435,0.31397697048239326
Median,0.043989351170601064,0.47212641909951697,0.6437658903879466,0.0829574156655269,0.31070976908089787
decel_severity,0.17445560652986603,0.20223414919743166,0.7996541535598375,0.011713900790667149,0.2970144525194506
accel_per_stv,0.20711014202626854,0.30558579941029107,0.5830024374362944,0.0,0.2739245947182135
LB_scaled,0.05570985231768476,0.2590002759246231,0.6291412354493023,0.003889823668619561,0.23693529684005743
LB,0.05570985231768461,0.2590002759241862,0.5923485616540499,0.0038898236686506606,0.22773712839114285
UC,0.07996654284401805,0.1757821366281602,0.30103692350592526,0.3524322330601012,0.22730445900955118
decel_variability_ratio,0.16917597485702596,0.3700186328307217,0.3508158494991234,0.0,0.22250261429671775
Min,0.10319516966896189,0.16083093414700722,0.6015436164978878,0.014789665956718883,0.22008984656764397
Min_scaled,0.10319516966896192,0.16083093414700567,0.5547378402905937,0.014789665956747342,0.20838840251582716
Width,0.04538246150717362,0.09917116432566475,0.6272548118854103,0.0,0.19295210942956217
FM,0.0382550504165837,0.01827666338410807,0.26071123940047464,0.4505086590955973,0.19193790307419092
variability_spread,0.03154497960483515,0.140177700821998,0.4756476806487695,0.024446907816431107,0.16795431722300844
MLTV,0.03434848173336861,0.12864630714174816,0.39901012962476334,0.0,0.14050122962497003
MLTV_scaled,0.03484079419360576,0.12874639387668235,0.362418860824165,0.0,0.13150151222361328
DL,0.13704347027559544,0.12679765396269874,0.23066065399769914,0.01305990598094294,0.12689042105423406
fhr_uc_interaction,0.06823891489206813,0.14608281751924881,0.2377614329166986,0.01087219226524973,0.1157388393983163
Max_scaled,0.0,0.0006830750330434201,0.32666643681918994,0.06716641606719678,0.09862898197985753
Nmax,0.008594699064383383,0.018259535191206,0.023614359272958265,0.33860063976220867,0.09726730832268908
Max,2.166397171755863e-18,0.0006830750330638656,0.30945927909812393,0.06716641606700435,0.09432719254954804
DS,0.16756403690878302,0.05302712895247637,0.08714246259576926,0.0,0.07693340711425715
trend_direction,0.07785015293922633,0.08154912960588356,0.11617119568837343,0.0011479553843504462,0.06917960840445843
Tendency,0.07785015293922633,0.08154912960588356,0.10127470142688322,0.0011479553843504462,0.06545548483908588
trend_strength,0.007109880213451143,0.0001881816659644719,0.0,0.023286981909447512,0.007646260947215782
Nzeros,0.0011549283644181896,0.0,0.0,0.0,0.0002887320911045474
